Tweet,Date Created
@CTVpolitics @channelstv This @GarShehu  of a man is on top of his cluelessness. Is there national security in Nigeria? Is danjuma not saying the truth?  All year looters n yahoo boys in govt will find urselfs in prison soon. Bury ur face in shame yeah unpatriotic politician,2018-04-03 05:20:37
"Nigeria assumes AU Security Council chair for April
https://t.co/NILGauCbNp https://t.co/t47WQsmDQI",2018-04-03 04:42:45
Institute proffers solutions to mitigate security challenges in Nigeria Read here https://t.co/WdnNbwsPUu https://t.co/J6jMRYQ5w8,2018-04-03 04:41:15
"Nigeria assumes AU security council chair for April
https://t.co/NILGauCbNp",2018-04-03 04:36:02
"Nigeria, Sunday, assumed the one month rotational Chairmanship of the African Union Peace and Security Council (AU-PSC). The Nigeria’s Permanent Representative to the AU, Ambassador... https://t.co/7Z4HTG3b64",2018-04-03 03:45:25
Nigeria Assumes Chairmanship Of AU Security And Peace Council https://t.co/7Z4HTG3b64,2018-04-03 03:45:21
"20 killed in Boko Haram attack on Nigerian army base, villages: A covered-up dead body lies in the trunk of a police vehicle as members of security forces stand near the site of a suspected Boko Haram attack on the ... KANO, NIGERIA: Boko Haram killed at… https://t.co/2LJpKOVb9K",2018-04-03 03:37:54
"@dadiyata @itz_imaam @FalaluDorayi @angry_ustaaz @IbnBuhari_ this is how much security has improved under the APC government, Nigeria. when you promised jobs,  but gave unemployment and job loss.  What you get is criminality and chaos.",2018-04-03 03:11:22
"Security Advice You Can Count on when it come to your computer and the internet The https://t.co/8bEowqtNua #Nigeria,#lagos,#abuja,#website",2018-04-03 02:46:47
@GarShehu Please ask your President if appointing fulanis or muslims to occupy over 95% of the security positions of the country is keeping Nigeria one. Something that the constitution seriously frowns against in black and white! Little wonder fulani herdsmen terrorists are everywhere.,2018-04-03 02:34:44
"Aviation security personnel set to carry arms â€“ FG Okechukwu Nnodim and Maureen Ihua-Maduenyi
Aviation security personnel of the Federal Airports Authority of Nigeria will soon be... https://t.co/EK4iPqERtI",2018-04-03 02:31:09
"@laurakhuber @EmeryJohnR @EmilArchambault @YVeilleuxLepage @JanTattenberg @AlexEdneyBrowne @marcusmcurran @RikeFranke @ahjackman @aaronjgold2 @MaryAnneSMM @meredithloken @addelapaz @AlvinaHoffm @mzmargulies @austincdoctor @MikeWidmeier @daarnon @RambaKy @RobertUNagel @hannahlwright @j_p_eggert @8rachelharmon I recommend @hannahwaddilove #Kenya politics, @dyzenhaus land/decentralization in #Kenya, @meredithloken gender, security, &amp; violence, @mkguliford civilian victimization, @HilaryMatfess #Nigeria &amp; #Ethiopia politics.",2018-04-03 02:07:21
"https://t.co/Sg8c588plB Commonwealth Games, United Kingdom, Gold Coast Nigeria, Africa Computer security Android, Samsung Galaxy S6 Edge Waymo, Autonomous car, John Krafcik, Honda, Google driverless car, Alphabet Inc. Breakaway, Amazon Game Studios, Stock, Valuation,",2018-04-03 02:06:42
"https://t.co/Sg8c588plB Mitchell Johnson, Chris Lynn, England cricket team, Venky Mysore Cisco Systems, Computer security, Ransomware, Network security, Threat, Nigeria Horse racing, Ffos Las racecourse, Sports betting Blac Chyna, Six Flags, Rob Kardashian Kiss Me First,",2018-04-03 02:06:33
"@NGRPresident what's the presidency doing about the nation's security?! It's getting worse. People are dying in numbers. They are Nigerians. Nigeria has to fight for the well being of Nigerians. Nigeria is all we got, fight for us!",2018-04-03 01:58:33
Nigeria Assumes Chairmanship Of AU Peace And Security Council https://t.co/WY7m64zZUe,2018-04-03 01:46:35
"@CoolFMNigeria @JuneUbi For me cheating is a choice, she's made her choice. I will also make mine by staying back by securing my job cuz there's no job security in Nigeria.
#OvernightLounge #PillowTalk",2018-04-03 01:23:31
Nigeria Assumes Chairmanship Of AU Peace And Security Council https://t.co/W7cQj9Gpy6,2018-04-03 01:16:59
"Nigerian Aviation Security Personnel To Carry Firearms Soon â€“ Minister 0 Comments

Sahara Reporters
Nigerian Aviation Security Personnel To Carry Firearms Soon â€“ Minister

7 Hours Ago

 https://t.co/s4uZdBsix8 https://t.co/jdGp1XNJUD",2018-04-03 00:53:14
"In an effort to determine the top security agency in Nigeria, the eminent judges narrowed the field to three finalists: the SSS, the Army and the Nigeria Police Force. The three contenders were given the... https://t.co/bgCTrsMmuT",2018-04-03 00:30:19
"Nigeria Herdsman Grazing Solution, Google search- Ecological Grazing management, Food security and Surveillance in Nigeria by Ayodele A.Otaiku",2018-04-03 00:24:39
"@Chydee @PoliceNG @GovUgwuanyi @PoliceNG_Enugu @iamekweremadu @phynofino @2niteFlavour @ConnectEnugu @StandtoEndRape @WAR_Nigeria I think you should see if you can  get some of the ladies who were molested to seek legal action against the organisers plus they should be ""blacklisted"" for putting a concert together and not being able to provide adequate security. My 2 cents",2018-04-02 23:31:15
Minister urges Nigerians to support Social Security Scheme to tackle extreme poverty #BusinessDay #MrAdebayoShittu #nigeria #SocialSecurityScheme https://t.co/TNBsorwQO5 https://t.co/jlJHzaTvmg,2018-04-02 23:22:05
"@GeniusJokerNG @valantinodaniel It's Nigeria... security guards open gates, greet and collect rice during festive periods",2018-04-02 22:48:06
@realDonaldTrump @EmmanuelMacron the Nigeria security forces is all terrorist they are massacring the innocent Nigerians especially the Christians under the guise of Fulani herdsmen all the attacks is carrying on in nights,2018-04-02 22:43:58
Nigeria Assumes Chairmanship Of AU Peace And Security Council https://t.co/IolISjMAk3 https://t.co/dLhfJoR8U4,2018-04-02 22:40:59
Security forces in #Nigeria are said to be fighting with members of the #BokoHaram insurgency group as shots and explosions are heard in the city of Maiduguri @AJEnglish https://t.co/Sa8bKHuaKC,2018-04-02 22:35:03
"@GEJonathan Did your former National Security Adviser (NSA), Col. Sambo Dasuki (rtd) seek your approval to collect from the Central Bank of Nigeria the over $2 billion meant for purchase of arms for Nigerian soldiers? #BokoHaramArmsScandal",2018-04-02 22:29:51
Two Injured As Soldiers Open Fire To Protect Gombe Senator #Nigeria #Security https://t.co/Ow6piJmsc5 https://t.co/thyS1oFJLa,2018-04-02 22:27:55
Vacancy for Country Safety and Security Manager – Nigeria at Mercy Corps https://t.co/16HDUPPhJm,2018-04-02 21:57:29
Minister #AdebayoShittu urges #Nigerians to support social security schemes https://t.co/XWyRO3m0my @TodayNGR,2018-04-02 21:47:01
Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/ilIIiOJlLH via @todayng https://t.co/ZRFnUTdV4n,2018-04-02 21:29:01
Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/vXimX32G3N https://t.co/7QEZWsrypN,2018-04-02 21:25:04
"I'm not a rape apologist &amp; i've tweeted extensively bout the incident. Nigeria now has a rape culture akin to India &amp; South Africa, thats the truth. I've worked in the security sector &amp; know this. It's the same story all over 9ja, it's js underreported, unreported in some areas. https://t.co/ltSPP8cICt",2018-04-02 21:19:48
@nasirdaniya Hi I have a very well constructed strategy to tackle security challenges in Nigeria.,2018-04-02 20:58:06
"If you drive corolla and camry in Nigeria, your car is at higher security risk than most other expensive cars.
The use both cars engine for flying boat and the market is quite lucrative",2018-04-02 20:50:17
"18 Dead, 84 Injured in Boko Haram Attack in #Nigeria
Have the #UN convened a special security council session yet?
https://t.co/qAT6re9T3o https://t.co/GrwTldNOTv",2018-04-02 20:48:34
Nigeria assumes AU security council chair for April: Read Full News Here https://t.co/HUQ28pdWxb @Feelib,2018-04-02 20:42:06
An attack from #BokoHaram has killed 15 people in northeastern Nigeria.   https://t.co/rMHqI16ZhN,2018-04-02 20:37:06
"Nigeria assumes AU security council chair for April
https://t.co/JmSJGc6EFh
@APCUKingdom https://t.co/xM3hHLoL40",2018-04-02 20:31:58
@CTVpolitics Already Nigeria is lack of security.  So what bad about his speech,2018-04-02 20:12:40
"@renoomokri Both terrorism and corruption are parasites to the growth of Nigeria. I commend that the Administration is going after the alleged PDP looters, and I hope they face due justice. If the money for the security of the nation was put into good use Boko haram won't be existing today.",2018-04-02 20:12:23
Nigeria assumes AU security council chair for April https://t.co/TTkf1kiRDo,2018-04-02 20:04:59
"Nigeria assumes AU security council chair for April
https://t.co/NILGauCbNp
@APCUKingdom @Biodunpen @MBuhari https://t.co/LGWiZiwOqJ",2018-04-02 19:48:45
Nigeria assumes AU security council chair for April https://t.co/SsxYLzoTyf https://t.co/lmztc4QeS7,2018-04-02 19:42:02
"3. @GEJonathan Did your former National Security Adviser (NSA), Col. Sambo Dasuki (rtd) seek your approval to collect from the Central Bank of Nigeria the over $2 billion meant for purchase of arms for Nigerian soldiers? #BokoHaramArmsScandal",2018-04-02 19:25:08
"PDP should ignore this looters list and tell Nigerians how they intend to get back Nigeria. APC is a disaster. Discuss the right topics: Security, Economy, Power, Agriculture, Youths empowerment, Foreign policies... Corruption talk is waste of time",2018-04-02 18:59:06
"PDP should ignore this looters list and tell Nigerians how they intend to get back Nigeria. APC is a disaster.

Discuss the right topics:
Security
Economy
Power
Agriculture
Youths empowerment
Foreign policies...

Corruption is talk is overrated!",2018-04-02 18:39:12
"@NobleKaycee @benmurraybruce I am a Nigerian, I have friends and family around Nigeria, most of them returned from the east before the arrest of KANU due to security threats from IPOB. I saw,  read and heard about their activities. Be sincere",2018-04-02 18:25:07
BIAFRA PROTESTERS ARE BEEN MURDERED BY NIGERIA ISLAMIC SECURITY FORCE UNLAWFUL? @AMANPOUR CHRISTINE YOU ARE UNFAIR AND BAIS JOURNALIST SHAME TO YOU @CNN&amp;@BBC FOXES NEW @FOX FRIENDS https://t.co/2WfkQUyOeC,2018-04-02 18:17:33
"Until we get it right in the area of security, showbiz in nigeria will always be impeded. Now you know why everyone goes to Eko hotel, even at that, casualties still dey🤦🏽‍♂️ https://t.co/y2hO78kG10",2018-04-02 17:42:13
Security:  Nigeria: UN condemns continuous attack on civilians in Northeast https://t.co/g0ZFwClGRl,2018-04-02 17:26:28
Country Safety and Security Manager – Nigeria https://t.co/9dS0JxTIKX,2018-04-02 17:20:28
"@tvcnewsng Major, your president is very epileptic that is why he put a northerner each to head all security outfits in Nigeria. Political",2018-04-02 17:14:42
"We've so normalize death in Nigeria that news of double digit number of deaths mean nothing to us. 

Majority of Northerners claimed they voted Buhari because he could solve internal security. Looks like they voted the wrong Buhari in 2015, &amp; want to vote the right Buhari in 2019",2018-04-02 17:09:35
every part of Nigeria has security challenges,2018-04-02 16:53:21
@DTM_IOM @IOMAfghanistan @IOMRONairobi @IOM_MENA @IOM_Nigeria @IOM_Libya @IOMSouthSudan @OIM_Peru @IOM_Caribbean @OIM_Niger Curious... how has the humanitarian response been in lawless countries? Do you provide your own security?,2018-04-02 16:51:04
"@segalink @NaijaRevolutio1 @PoliceNG @PoliceNG_PCRRU You see how Nigeria police and other security agencies killing innocent Nigerians on daily basic?  Nigerians that are still struggling to meet their needs, police will kill them without justice.see the Tyrant government we landed ourselves today? All we need to do vote Buhari out",2018-04-02 16:45:51
"#Christians are unable to practice their faith this #Easter in the following countries  without severe, relentless #Persecution: #China, #Venezuela, #India, #Nigeria, #Sudan &amp; #Indonesia. #FaithUnderFire #ReligiousFreedom #genocide #Intolerance #JesusSaves https://t.co/NGcuX3EOLa https://t.co/faVN6lA33P",2018-04-02 16:45:30
Nigeria: Nigeria Security Tracker Weekly Update: March 24 - March 30 | Khalil Humam - https://t.co/GND0JcjSzj,2018-04-02 16:30:15
The story about gang rapes during Flavour concert is as disgusting as it is frightening. I just couldn't believe such a thing happened. There are definitely many psychiatric cases in Nigeria. We must improve security and perhaps end free shows. https://t.co/AiTDQbmtXT,2018-04-02 16:29:19
(Nigeria assumes chairmanship of AU Peace and Security Council) - https://t.co/DcfcJnuniu https://t.co/XNrIH3JUce,2018-04-02 16:14:01
Nigeria Security Tracker Weekly Update: March 24 - March 30 https://t.co/NbIXEYbrjl via @CFR_org https://t.co/tpwHKSm1yy,2018-04-02 15:45:43
"Suspected #BokoHaram militants kill at least 15 in Nigeria's #Maiduguri, capital town of northern #Borno state. https://t.co/iZ2JRGw9Ny",2018-04-02 15:43:29
"I hope the cabal in government (if any) wouldn't stall his ingenious advice on complicated matters involving security, economy, education, Infrastructures, and other salient issues.

God bless Nigeria.",2018-04-02 15:32:28
@ShehuSani The money meant to take care of the security agents of our country was squandered by the lawless &amp; undistinguished senators of Nigeria. The remnants of the security agents was shared among the undistinguished people of the red chamber and yet apportioned blames on the Executive,2018-04-02 15:22:59
"Gunfire and explosions 'rock Nigeria's Maiduguri'
Security forces in battle with large number of fighters suspected to be members of the Boko Haram armed group. https://t.co/IOUyOk2ka7",2018-04-02 14:43:51
"Nigeria is a mess .Nigeria is the only country in the world that can give amnesty to criminals, kidnappers ,robberies and terrorist that have killed security agents. Which way my people.",2018-04-02 14:25:28
"(3)
You will recall that exercise AYEM AKPATUMA was flagged off 20th Feb, 2018. The exercise was aimed at further sustaining Nigerian Army’s constitutional roles of defending the territorial integrity of Nigeria as well as aiding the civil authority to maintain peace &amp; security.",2018-04-02 14:16:56
Nigeria Security Tracker Weekly Update: March 24 - March 30 https://t.co/IKA2hgSH2M https://t.co/KRw63PUSQD,2018-04-02 14:09:01
Nigeria Security Tracker Weekly Update: March 24 - March 30 https://t.co/q00Zyr0C2G,2018-04-02 14:00:45
Nigeria Security Tracker Weekly Update: March 24 - March 30 https://t.co/C12Mvlan70 https://t.co/dWSBK2QXuO,2018-04-02 13:34:56
Nigeria Security Tracker Weekly Update: March 24 - March 30 https://t.co/65J1h8EH8f https://t.co/Im3p669EGV,2018-04-02 13:34:41
CFR : Nigeria Security Tracker Weekly Update: March 24 - March 30 https://t.co/AEI16TLXVZ,2018-04-02 13:34:37
#CFR Nigeria Security Tracker Weekly Update: March 24 - March 30 https://t.co/VXzQeinJMe #Nigeria,2018-04-02 13:30:57
"Just like we have fake currency and genuine ones, in the security we do have the same. So is the situation of Nigeria now. Our security is so compromised and faked and under a General so called yet, no one is fired! Sic!",2018-04-02 13:13:23
"WHERE IS THE SECURITY?
First I heard this:
All commuters ready to ply the Maiduguri-Damboa-Chibok road have been turned back to Maiduguri as military said they cannot guarantee movement of people on that road today then I read this👇

Vanguard News Nigeria https://t.co/FJz4R5aGAB",2018-04-02 13:05:29
"(Rivers LG boss to security agencies: Arrest politicians fueling cultism, killings) has been published on Latest Nigeria News - https://t.co/aHqXQSjZzL https://t.co/JL2Yv1V1vB",2018-04-02 13:00:06
"@GovAyoFayose How much is N power even paying sef.. With 50k a month u can't make in Nigeria.. Light bills, security bill, tithe, recharge card,  gotv sub,  data sub,  flexing,  babe/bf money,  parents money,  etc",2018-04-02 12:58:29
"SECURITY:  NIGERIA HAS SPENT MORE ON BOKO HARAM THAN IN THE CIVIL WAR, ""DONALD DUKE"" https://t.co/3NVJXKHTkf",2018-04-02 12:49:59
Nigeria-US Security Cooperation in the Age of Trump https://t.co/RCfNTFuFmN https://t.co/wvDOZ8yaUb,2018-04-02 12:36:03
"International Security Firm, PSA Launches In Nigeria https://t.co/A4om9I4eQY https://t.co/2P01osI9Xr",2018-04-02 12:18:36
"International Security Firm, PSA Launches In Nigeria https://t.co/n6C5In8r1j https://t.co/tcxX0H9f4y",2018-04-02 12:18:28
"@FulaniTribesman @DrMairoMandara @Kaagarko Isn't marijuana illegal in Nigeria? I just drove past 5 dealers on my way back from Badarawa.

A ban won't do much, but drive the prices up. Our security agencies are too ill-equipped and underfunded to ensure the ban is enforced. Let's not forget corruption.",2018-04-02 12:02:56
"@Chydee @Adebayoraph Jesus Christ!! We are fast losing our humanity and becoming animals, pls can the security agencies @PoliceNG   do something about this ,no one deserves to be scared of going out to have fun.. Young men in Nigeria we have failed if we go about behaving like animals. God have mercy",2018-04-02 11:52:16
"@Irosoino @Almuyuni @ogundamisi @2niteFlavour @PoliceNG There is no sense in your tweet Ma. Read what i tweeted. You listen to understand, You don't listen to reply.  Like i said earlier, there is no 100% security. If you are going to a concert, its at your own risk. Nigeria is not safe. 2019 is approaching. Keep your heads low.",2018-04-02 11:48:12
@yodike @ShehuSani there is vacuum in laws relating to security in Nigeria. There is only vacuum in executive's will to protect d people.,2018-04-02 11:42:05
"User Data, Boko Haram and a Killer Monkey: Know This: Tech companies are coming under pressure to take a security pledge that they'll protect their users. An attack from Boko Haram has killed 15 people in northeastern Nigeria. And police in India are… https://t.co/9Q5k5UyBVe",2018-04-02 11:36:00
Nigeria Becomes Chairman Of AU Peace And Security Council https://t.co/uXlhbr6nVx https://t.co/9E0UJJ1z5Y,2018-04-02 11:30:58
"@AishaYesufu #Shameful Absolute #disgrace.  #Security #records in #Nigeria are #Shocking. @MBuhari @ProfOsinbajo @NGRSenate @nassnigeria please take responsibility. 
#WakeUpNigeria
#OfficeOfTheCitizen #EnoughIsEnough  
#AriseOCompatriots 
#NigeriaMustWorkInOurLifetime. Such a sad #shame",2018-04-02 11:29:52
"Suspected Boko Haram militants kill at least 15 in Nigeria's Maiduguri: MAIDUGURI, Nigeria (Reuters) - A Boko Haram attack in the Nigerian city of Maiduguri killed at least 15 people and wounded 83, a military spokesman said on Monday, in the… https://t.co/t5x3PPOpD5  - Reuters",2018-04-02 11:15:59
U Know Boko Haram https://t.co/dIeRjvWgug,2018-04-02 11:13:48
Suspected Boko Haram militants kill at least 15 in Nigeria's Maiduguri [RTR https://t.co/OznR1V4e1C],2018-04-02 11:13:10
"MAIDUGURI, Nigeria (Reuters) - A Boko Haram attack in the Nigerian city of Maiduguri killed at least 15 people and wounded 83, a military spokesman said on Monday, in the biggest strike since the government said it was in talks with the Islamist militant… https://t.co/bFuZO10h9z",2018-04-02 11:11:11
Suspected Boko Haram militants kill at least 15 in #Nigerian city of #Maiduguri https://t.co/9zFAEpwtJf,2018-04-02 11:08:45
"Suspected Boko Haram militants kill at least 15 in Nigeria's Maiduguri https://t.co/mFpUweEnKr MAIDUGURI, Nigeria (Reuters) - A Boko Haram attack in the Nigerian city of Maiduguri killed at least 15 people and wounded 83, a military spokesman said on Monday, in the biggest stri…",2018-04-02 11:08:07
@MobilePunch @PoliceNG security in Nigeria is for the rich and the poor can die...... please Nigerians according to danjuma please protect yourself,2018-04-02 10:45:12
